Fecha,Local,Goles Local,Visitante,Goles Visitante
17/08/2018,Betis,0,Levante,3
17/08/2018,Girona,0,Valladolid,0
18/08/2018,Barcelona,3,Alaves,0
18/08/2018,Celta,1,Espanol,1
18/08/2018,Villarreal,1,Sociedad,2
19/08/2018,Eibar,1,Huesca,2
19/08/2018,Real Madrid,2,Getafe,0
19/08/2018,Vallecano,1,Sevilla,4
20/08/2018,Ath Bilbao,2,Leganes,1
20/08/2018,Valencia,1,Ath Madrid,1
24/08/2018,Getafe,2,Eibar,0
24/08/2018,Leganes,2,Sociedad,2
25/08/2018,Alaves,0,Betis,0
25/08/2018,Ath Madrid,1,Vallecano,0
25/08/2018,Valladolid,0,Barcelona,1
26/08/2018,Espanol,2,Valencia,0
26/08/2018,Girona,1,Real Madrid,4
26/08/2018,Sevilla,0,Villarreal,0
27/08/2018,Ath Bilbao,2,Huesca,2
27/08/2018,Levante,1,Celta,2
31/08/2018,Eibar,2,Sociedad,1
31/08/2018,Getafe,0,Valladolid,0
31/08/2018,Villarreal,0,Girona,1
01/09/2018,Celta,2,Ath Madrid,0
01/09/2018,Real Madrid,4,Leganes,1
02/09/2018,Alaves,2,Espanol,1
02/09/2018,Barcelona,8,Huesca,2
02/09/2018,Betis,1,Sevilla,0
02/09/2018,Levante,2,Valencia,2
14/09/2018,Huesca,0,Vallecano,1
15/09/2018,Ath Bilbao,1,Real Madrid,1
15/09/2018,Ath Madrid,1,Eibar,1
15/09/2018,Sociedad,1,Barcelona,2
15/09/2018,Valencia,0,Betis,0
16/09/2018,Espanol,1,Levante,0
16/09/2018,Leganes,0,Villarreal,1
16/09/2018,Sevilla,0,Getafe,2
16/09/2018,Valladolid,0,Alaves,1
17/09/2018,Girona,3,Celta,2
21/09/2018,Huesca,0,Sociedad,1
22/09/2018,Celta,3,Valladolid,3
22/09/2018,Eibar,1,Leganes,0
22/09/2018,Getafe,0,Ath Madrid,2
22/09/2018,Real Madrid,1,Espanol,0
22/09/2018,Vallecano,1,Alaves,5
23/09/2018,Barcelona,2,Girona,2
23/09/2018,Betis,2,Ath Bilbao,2
23/09/2018,Levante,2,Sevilla,6
23/09/2018,Villarreal,0,Valencia,0
25/09/2018,Ath Madrid,3,Huesca,0
25/09/2018,Espanol,1,Eibar,0
25/09/2018,Sociedad,2,Vallecano,2
26/09/2018,Ath Bilbao,0,Villarreal,3
26/09/2018,Leganes,2,Barcelona,1
26/09/2018,Sevilla,3,Real Madrid,0
26/09/2018,Valencia,1,Celta,1
27/09/2018,Alaves,1,Getafe,1
27/09/2018,Girona,0,Betis,1
27/09/2018,Valladolid,2,Levante,1
28/09/2018,Vallecano,2,Espanol,2
29/09/2018,Barcelona,1,Ath Bilbao,1
29/09/2018,Eibar,1,Sevilla,3
29/09/2018,Real Madrid,0,Ath Madrid,0
29/09/2018,Sociedad,0,Valencia,1
30/09/2018,Betis,1,Leganes,0
30/09/2018,Huesca,1,Girona,1
30/09/2018,Levante,2,Alaves,1
30/09/2018,Villarreal,0,Valladolid,1
01/10/2018,Celta,1,Getafe,1
05/10/2018,Ath Bilbao,1,Sociedad,3
06/10/2018,Alaves,1,Real Madrid,0
06/10/2018,Getafe,0,Levante,1
06/10/2018,Girona,2,Eibar,3
06/10/2018,Leganes,1,Vallecano,0
07/10/2018,Ath Madrid,1,Betis,0
07/10/2018,Espanol,3,Villarreal,1
07/10/2018,Sevilla,2,Celta,1
07/10/2018,Valencia,1,Barcelona,1
07/10/2018,Valladolid,1,Huesca,0
19/10/2018,Celta,0,Alaves,1
20/10/2018,Barcelona,4,Sevilla,2
20/10/2018,Real Madrid,1,Levante,2
20/10/2018,Valencia,1,Leganes,1
20/10/2018,Villarreal,1,Ath Madrid,1
21/10/2018,Betis,0,Valladolid,1
21/10/2018,Eibar,1,Ath Bilbao,1
21/10/2018,Huesca,0,Espanol,2
21/10/2018,Vallecano,1,Getafe,2
22/10/2018,Sociedad,0,Girona,0
24/10/2018,Vallecano,1,Ath Bilbao,1
26/10/2018,Valladolid,1,Espanol,1
27/10/2018,Ath Bilbao,0,Valencia,0
27/10/2018,Ath Madrid,2,Sociedad,0
27/10/2018,Celta,4,Eibar,0
27/10/2018,Girona,2,Vallecano,1
27/10/2018,Levante,2,Leganes,0
28/10/2018,Alaves,2,Villarreal,1
28/10/2018,Barcelona,5,Real Madrid,1
28/10/2018,Getafe,2,Betis,0
28/10/2018,Sevilla,2,Huesca,1
03/11/2018,Leganes,1,Ath Madrid,1
03/11/2018,Real Madrid,2,Valladolid,0
03/11/2018,Valencia,0,Girona,1
03/11/2018,Vallecano,2,Barcelona,3
04/11/2018,Betis,3,Celta,3
04/11/2018,Eibar,2,Alaves,1
04/11/2018,Huesca,1,Getafe,1
04/11/2018,Sociedad,0,Sevilla,0
04/11/2018,Villarreal,1,Levante,1
05/11/2018,Espanol,1,Ath Bilbao,0
09/11/2018,Levante,1,Sociedad,3
10/11/2018,Ath Madrid,3,Ath Bilbao,2
10/11/2018,Getafe,0,Valencia,1
10/11/2018,Girona,0,Leganes,0
10/11/2018,Valladolid,0,Eibar,0
11/11/2018,Alaves,2,Huesca,1
11/11/2018,Barcelona,3,Betis,4
11/11/2018,Celta,2,Real Madrid,4
11/11/2018,Sevilla,2,Espanol,1
11/11/2018,Vallecano,2,Villarreal,2
23/11/2018,Leganes,1,Alaves,0
24/11/2018,Ath Madrid,1,Barcelona,1
24/11/2018,Eibar,3,Real Madrid,0
24/11/2018,Huesca,2,Levante,2
24/11/2018,Valencia,3,Vallecano,0
25/11/2018,Ath Bilbao,1,Getafe,1
25/11/2018,Espanol,1,Girona,3
25/11/2018,Sevilla,1,Valladolid,0
25/11/2018,Villarreal,2,Betis,1
26/11/2018,Sociedad,2,Celta,1
30/11/2018,Vallecano,1,Eibar,0
01/12/2018,Celta,2,Huesca,0
01/12/2018,Getafe,3,Espanol,0
01/12/2018,Real Madrid,2,Valencia,0
01/12/2018,Valladolid,2,Leganes,4
02/12/2018,Alaves,1,Sevilla,1
02/12/2018,Barcelona,2,Villarreal,0
02/12/2018,Betis,1,Sociedad,0
02/12/2018,Girona,1,Ath Madrid,1
03/12/2018,Levante,3,Ath Bilbao,0
07/12/2018,Leganes,1,Getafe,1
08/12/2018,Ath Madrid,3,Alaves,0
08/12/2018,Espanol,0,Barcelona,4
08/12/2018,Valencia,1,Sevilla,1
08/12/2018,Villarreal,2,Celta,3
09/12/2018,Betis,2,Vallecano,0
09/12/2018,Eibar,4,Levante,4
09/12/2018,Huesca,0,Real Madrid,1
09/12/2018,Sociedad,1,Valladolid,2
10/12/2018,Ath Bilbao,1,Girona,0
14/12/2018,Celta,0,Leganes,0
15/12/2018,Eibar,1,Valencia,1
15/12/2018,Getafe,1,Sociedad,0
15/12/2018,Real Madrid,1,Vallecano,0
15/12/2018,Valladolid,2,Ath Madrid,3
16/12/2018,Espanol,1,Betis,3
16/12/2018,Huesca,2,Villarreal,2
16/12/2018,Levante,0,Barcelona,5
16/12/2018,Sevilla,2,Girona,0
17/12/2018,Alaves,0,Ath Bilbao,0
21/12/2018,Girona,1,Getafe,1
21/12/2018,Sociedad,0,Alaves,1
22/12/2018,Ath Bilbao,1,Valladolid,1
22/12/2018,Ath Madrid,1,Espanol,0
22/12/2018,Barcelona,2,Celta,0
22/12/2018,Betis,1,Eibar,1
23/12/2018,Leganes,1,Sevilla,1
23/12/2018,Valencia,2,Huesca,1
23/12/2018,Vallecano,2,Levante,1
03/01/2019,Villarreal,2,Real Madrid,2
04/01/2019,Espanol,1,Leganes,0
04/01/2019,Levante,2,Girona,2
05/01/2019,Alaves,2,Valencia,1
05/01/2019,Huesca,2,Betis,1
05/01/2019,Valladolid,0,Vallecano,1
06/01/2019,Eibar,0,Villarreal,0
06/01/2019,Getafe,1,Barcelona,2
06/01/2019,Real Madrid,0,Sociedad,2
06/01/2019,Sevilla,1,Ath Madrid,1
07/01/2019,Celta,1,Ath Bilbao,2
11/01/2019,Vallecano,4,Celta,2
12/01/2019,Girona,1,Alaves,1
12/01/2019,Leganes,1,Huesca,0
12/01/2019,Valencia,1,Valladolid,1
12/01/2019,Villarreal,1,Getafe,2
13/01/2019,Ath Bilbao,2,Sevilla,0
13/01/2019,Ath Madrid,1,Levante,0
13/01/2019,Barcelona,3,Eibar,0
13/01/2019,Betis,1,Real Madrid,2
14/01/2019,Sociedad,3,Espanol,2
18/01/2019,Getafe,4,Alaves,0
19/01/2019,Celta,1,Valencia,2
19/01/2019,Huesca,0,Ath Madrid,3
19/01/2019,Real Madrid,2,Sevilla,0
20/01/2019,Barcelona,3,Leganes,1
20/01/2019,Betis,3,Girona,2
20/01/2019,Levante,2,Valladolid,0
20/01/2019,Vallecano,2,Sociedad,2
20/01/2019,Villarreal,1,Ath Bilbao,1
21/01/2019,Eibar,3,Espanol,0
26/01/2019,Ath Madrid,2,Getafe,0
26/01/2019,Leganes,2,Eibar,2
26/01/2019,Sevilla,5,Levante,0
26/01/2019,Valencia,3,Villarreal,0
27/01/2019,Ath Bilbao,1,Betis,0
27/01/2019,Espanol,2,Real Madrid,4
27/01/2019,Girona,0,Barcelona,2
27/01/2019,Sociedad,0,Huesca,0
27/01/2019,Valladolid,2,Celta,1
28/01/2019,Alaves,0,Vallecano,1
01/02/2019,Huesca,4,Valladolid,0
02/02/2019,Barcelona,2,Valencia,2
02/02/2019,Celta,1,Sevilla,0
02/02/2019,Levante,0,Getafe,0
02/02/2019,Sociedad,2,Ath Bilbao,1
03/02/2019,Betis,1,Ath Madrid,0
03/02/2019,Eibar,3,Girona,0
03/02/2019,Real Madrid,3,Alaves,0
03/02/2019,Villarreal,2,Espanol,2
04/02/2019,Vallecano,1,Leganes,2
08/02/2019,Valladolid,0,Villarreal,0
09/02/2019,Ath Madrid,1,Real Madrid,3
09/02/2019,Espanol,2,Vallecano,1
09/02/2019,Getafe,3,Celta,1
09/02/2019,Girona,0,Huesca,2
10/02/2019,Ath Bilbao,0,Barcelona,0
10/02/2019,Leganes,3,Betis,0
10/02/2019,Sevilla,2,Eibar,2
10/02/2019,Valencia,0,Sociedad,0
11/02/2019,Alaves,2,Levante,0
15/02/2019,Eibar,2,Getafe,2
16/02/2019,Barcelona,1,Valladolid,0
16/02/2019,Celta,1,Levante,4
16/02/2019,Sociedad,3,Leganes,0
16/02/2019,Vallecano,0,Ath Madrid,1
17/02/2019,Betis,1,Alaves,1
17/02/2019,Real Madrid,1,Girona,2
17/02/2019,Valencia,0,Espanol,0
17/02/2019,Villarreal,3,Sevilla,0
18/02/2019,Huesca,0,Ath Bilbao,1
22/02/2019,Espanol,1,Huesca,1
23/02/2019,Alaves,0,Celta,0
23/02/2019,Ath Bilbao,1,Eibar,0
23/02/2019,Getafe,2,Vallecano,1
23/02/2019,Sevilla,2,Barcelona,4
24/02/2019,Ath Madrid,2,Villarreal,0
24/02/2019,Leganes,1,Valencia,1
24/02/2019,Levante,1,Real Madrid,2
24/02/2019,Valladolid,0,Betis,2
25/02/2019,Girona,0,Sociedad,0
01/03/2019,Vallecano,0,Girona,2
02/03/2019,Espanol,3,Valladolid,1
02/03/2019,Huesca,2,Sevilla,1
02/03/2019,Real Madrid,0,Barcelona,1
02/03/2019,Villarreal,1,Alaves,2
03/03/2019,Betis,1,Getafe,2
03/03/2019,Eibar,1,Celta,0
03/03/2019,Sociedad,0,Ath Madrid,2
03/03/2019,Valencia,2,Ath Bilbao,0
04/03/2019,Leganes,1,Levante,0
08/03/2019,Ath Bilbao,1,Espanol,1
09/03/2019,Alaves,1,Eibar,1
09/03/2019,Ath Madrid,1,Leganes,0
09/03/2019,Barcelona,3,Vallecano,1
09/03/2019,Getafe,2,Huesca,1
10/03/2019,Celta,0,Betis,1
10/03/2019,Girona,2,Valencia,3
10/03/2019,Levante,0,Villarreal,2
10/03/2019,Sevilla,5,Sociedad,2
10/03/2019,Valladolid,1,Real Madrid,4
15/03/2019,Sociedad,1,Levante,1
16/03/2019,Ath Bilbao,2,Ath Madrid,0
16/03/2019,Huesca,1,Alaves,3
16/03/2019,Leganes,0,Girona,2
16/03/2019,Real Madrid,2,Celta,0
17/03/2019,Betis,1,Barcelona,4
17/03/2019,Eibar,1,Valladolid,2
17/03/2019,Espanol,0,Sevilla,1
17/03/2019,Valencia,0,Getafe,0
17/03/2019,Villarreal,3,Vallecano,1
29/03/2019,Girona,1,Ath Bilbao,2
30/03/2019,Alaves,0,Ath Madrid,4
30/03/2019,Barcelona,2,Espanol,0
30/03/2019,Celta,3,Villarreal,2
30/03/2019,Getafe,0,Leganes,2
31/03/2019,Levante,2,Eibar,2
31/03/2019,Real Madrid,3,Huesca,2
31/03/2019,Sevilla,0,Valencia,1
31/03/2019,Valladolid,1,Sociedad,1
31/03/2019,Vallecano,1,Betis,1
02/04/2019,Ath Madrid,2,Girona,0
02/04/2019,Espanol,1,Getafe,1
02/04/2019,Villarreal,4,Barcelona,4
03/04/2019,Ath Bilbao,3,Levante,2
03/04/2019,Eibar,2,Vallecano,1
03/04/2019,Huesca,3,Celta,3
03/04/2019,Valencia,2,Real Madrid,1
04/04/2019,Leganes,1,Valladolid,0
04/04/2019,Sevilla,2,Alaves,0
04/04/2019,Sociedad,2,Betis,1
06/04/2019,Barcelona,2,Ath Madrid,0
06/04/2019,Girona,1,Espanol,2
06/04/2019,Real Madrid,2,Eibar,1
06/04/2019,Vallecano,2,Valencia,0
07/04/2019,Alaves,1,Leganes,1
07/04/2019,Betis,2,Villarreal,1
07/04/2019,Celta,3,Sociedad,1
07/04/2019,Getafe,1,Ath Bilbao,0
07/04/2019,Levante,2,Huesca,2
07/04/2019,Valladolid,0,Sevilla,2
13/04/2019,Ath Madrid,2,Celta,0
13/04/2019,Espanol,2,Alaves,1
13/04/2019,Huesca,0,Barcelona,0
13/04/2019,Sevilla,3,Betis,2
14/04/2019,Ath Bilbao,3,Vallecano,2
14/04/2019,Girona,0,Villarreal,1
14/04/2019,Sociedad,1,Eibar,1
14/04/2019,Valencia,3,Levante,1
14/04/2019,Valladolid,2,Getafe,2
15/04/2019,Leganes,1,Real Madrid,1
19/04/2019,Alaves,2,Valladolid,2
20/04/2019,Barcelona,2,Sociedad,1
20/04/2019,Celta,2,Girona,1
20/04/2019,Eibar,0,Ath Madrid,1
20/04/2019,Vallecano,0,Huesca,0
21/04/2019,Betis,1,Valencia,2
21/04/2019,Getafe,3,Sevilla,0
21/04/2019,Levante,2,Espanol,2
21/04/2019,Real Madrid,3,Ath Bilbao,0
21/04/2019,Villarreal,2,Leganes,1
23/04/2019,Alaves,0,Barcelona,2
23/04/2019,Huesca,2,Eibar,0
23/04/2019,Valladolid,1,Girona,0
24/04/2019,Ath Madrid,3,Valencia,2
24/04/2019,Espanol,1,Celta,1
24/04/2019,Leganes,0,Ath Bilbao,1
24/04/2019,Levante,4,Betis,0
25/04/2019,Getafe,0,Real Madrid,0
25/04/2019,Sevilla,5,Vallecano,0
25/04/2019,Sociedad,0,Villarreal,1
27/04/2019,Ath Bilbao,1,Alaves,1
27/04/2019,Ath Madrid,1,Valladolid,0
27/04/2019,Barcelona,1,Levante,0
27/04/2019,Leganes,0,Celta,0
28/04/2019,Girona,1,Sevilla,0
28/04/2019,Sociedad,2,Getafe,1
28/04/2019,Valencia,0,Eibar,1
28/04/2019,Vallecano,1,Real Madrid,0
28/04/2019,Villarreal,1,Huesca,1
29/04/2019,Betis,1,Espanol,1
03/05/2019,Sevilla,0,Leganes,3
04/05/2019,Alaves,0,Sociedad,1
04/05/2019,Celta,2,Barcelona,0
04/05/2019,Espanol,3,Ath Madrid,0
04/05/2019,Levante,4,Vallecano,1
05/05/2019,Eibar,1,Betis,0
05/05/2019,Getafe,2,Girona,0
05/05/2019,Huesca,2,Valencia,6
05/05/2019,Real Madrid,3,Villarreal,2
05/05/2019,Valladolid,1,Ath Bilbao,0
12/05/2019,Ath Bilbao,3,Celta,1
12/05/2019,Ath Madrid,1,Sevilla,1
12/05/2019,Barcelona,2,Getafe,0
12/05/2019,Betis,2,Huesca,1
12/05/2019,Girona,1,Levante,2
12/05/2019,Leganes,0,Espanol,2
12/05/2019,Sociedad,3,Real Madrid,1
12/05/2019,Valencia,3,Alaves,1
12/05/2019,Vallecano,1,Valladolid,2
12/05/2019,Villarreal,1,Eibar,0
18/05/2019,Alaves,2,Girona,1
18/05/2019,Celta,2,Vallecano,2
18/05/2019,Espanol,2,Sociedad,0
18/05/2019,Getafe,2,Villarreal,2
18/05/2019,Huesca,2,Leganes,1
18/05/2019,Levante,2,Ath Madrid,2
18/05/2019,Sevilla,2,Ath Bilbao,0
18/05/2019,Valladolid,0,Valencia,2
19/05/2019,Eibar,2,Barcelona,2
19/05/2019,Real Madrid,0,Betis,2
